gene,A166,MSGS168,IDEAL178,standalone197,C245,standalone246,C246_Adrb1,ULTIMATE261,v6_232,v7_252,v8_237,d301,v11_lean296,v11_superset316,own_best_subclass,own_pct,own_mean_log2,anchor_pct,n_subclasses_ge50,level_verdict
Tiparp,False,False,True,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,70.0,4.36,55.8,7.0,strong in its own population
Tle4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,077 CEA-BST Gal Avp Gaba,100.0,8.9,98.9,44.0,strong in its own population
Trh,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120 MEA Otp Foxp2 Glut,64.0,4.29,64.0,3.0,usable in its own population
Trhde,False,False,False,False,False,False,False,False,False,False,False,True,False,False,001 CLA-EPd-CTX Car3 Glut,100.0,9.05,97.6,37.0,strong in its own population
Trhr,True,True,True,True,True,True,True,True,True,True,True,True,True,True,037 DG Glut,89.7,6.73,87.3,9.0,strong in its own population
Trpc3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,331 Peri NN,89.0,8.53,81.8,11.0,strong in its own population
Trpm3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,013 COAp Grxcr2 Glut,100.0,11.27,98.8,49.0,strong in its own population
Tshz2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,084 BST-SI-AAA Six3 Slc22a3 Gaba,100.0,9.87,100.0,35.0,strong in its own population
Tspan18,True,True,False,False,True,True,True,False,False,False,False,True,False,False,077 CEA-BST Gal Avp Gaba,77.4,4.74,26.8,1.0,strong in its own population
Upk1b,False,False,False,False,True,True,True,False,False,False,False,True,False,False,079 CEA-BST Six3 Cyp26b1 Gaba,54.1,3.36,17.6,1.0,usable in its own population
Vdr,False,False,False,False,True,True,True,False,False,False,False,True,False,False,082 CEA-BST Ebf1 Pdyn Gaba,11.2,0.92,11.2,0.0,too low to map reliably
Vegfc,False,False,False,False,False,False,False,False,False,False,False,True,True,True,048 RHP-COA Ndnf Gaba,51.4,3.05,39.6,1.0,usable in its own population
Vgf,False,False,True,False,False,False,False,False,True,True,True,False,True,True,026 NLOT Rho Glut,97.2,7.31,84.4,46.0,strong in its own population
Vip,True,True,True,True,True,True,True,True,True,True,True,True,True,True,046 Vip Gaba,88.3,10.12,92.9,1.0,strong in its own population
Vipr2,False,False,False,False,True,True,True,False,False,False,False,True,False,False,051 Pvalb chandelier Gaba,43.1,2.74,8.2,0.0,high level in a minority of cells (sparse but real)
Vps13a,False,False,True,True,True,True,True,True,True,False,False,True,True,True,133 PVH-SO-PVa Otp Glut,97.8,7.19,96.8,64.0,strong in its own population
Vtn,False,False,False,False,False,False,False,False,False,True,False,False,True,True,331 Peri NN,98.5,10.87,0.8,2.0,strong in its own population
Vwc2l,False,False,False,False,False,False,False,False,False,False,False,False,True,True,032 L5 NP CTX Glut,97.1,8.83,97.1,20.0,strong in its own population
WPRE,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
Xist,False,False,False,False,False,False,False,False,False,True,False,False,False,False,039 OB Meis2 Thsd7b Gaba,66.2,7.49,51.2,8.0,usable in its own population
Zbtb25,False,False,False,False,True,True,True,False,False,False,False,True,False,False,077 CEA-BST Gal Avp Gaba,44.6,2.31,34.1,0.0,high level in a minority of cells (sparse but real)
Zbtb40,False,False,False,False,True,True,True,False,False,False,False,True,False,False,058 PAL-STR Gaba-Chol,43.1,2.0,28.5,0.0,high level in a minority of cells (sparse but real)
Zdbf2,False,False,False,True,True,True,True,True,True,False,False,True,True,True,133 PVH-SO-PVa Otp Glut,98.5,8.15,95.1,50.0,strong in its own population
Zdhhc5,False,False,False,False,False,False,False,False,False,False,False,False,False,True,058 PAL-STR Gaba-Chol,83.1,4.54,60.2,24.0,strong in its own population
Zfp46,False,False,False,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,74.1,4.15,54.6,3.0,strong in its own population
Zfp580,False,False,False,False,True,True,True,False,False,False,False,True,False,False,026 NLOT Rho Glut,64.7,3.39,43.5,3.0,usable in its own population
Zfp641,False,False,False,True,True,True,True,True,True,True,True,True,True,True,048 RHP-COA Ndnf Gaba,65.4,3.66,51.5,10.0,usable in its own population
Zfp804b,False,False,False,False,False,False,False,False,False,False,False,True,False,False,051 Pvalb chandelier Gaba,100.0,11.66,89.3,43.0,strong in its own population
Zfp933,False,False,False,True,True,True,True,True,True,False,False,True,True,True,083 CEA-BST Rai14 Pdyn Crh Gaba,76.2,4.39,70.0,48.0,strong in its own population
Zfp941,False,False,False,False,False,False,False,False,False,False,False,False,False,True,085 SI-MPO-LPO Lhx8 Gaba,91.5,5.59,87.2,45.0,strong in its own population
Zhx2,False,False,False,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,83.3,5.12,79.4,9.0,strong in its own population
Zic1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,058 PAL-STR Gaba-Chol,98.8,8.12,69.7,8.0,strong in its own population
Zic2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,330 VLMC NN,78.7,6.3,60.6,4.0,strong in its own population
Zkscan16,False,False,False,True,True,True,True,True,True,True,True,True,True,True,090 BST-MPN Six3 Nrgn Gaba,77.1,4.78,75.5,35.0,strong in its own population
Zkscan2,False,False,False,True,True,True,True,True,True,True,True,True,True,True,330 VLMC NN,67.7,5.32,50.5,16.0,usable in its own population
Zmiz1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,026 NLOT Rho Glut,99.3,7.96,93.6,67.0,strong in its own population
iCre,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,
mCherry,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
tdTomato,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,
